science_sci1 (gainFactor=0.005; decayFactor=0.95;centroidPower=0.1; rcond=0.01;r0=0.10) (4990x1 iters, batchno 0 230727_133428 commit ): {'rms': 0.061228659283998774, 'strehlPeak': 0.99416436618139759, 'strehlInst': 0.99627028368912285, 'inbox0.2': 0.1906014084815979, 'd50': 0.8701716534727203, 'strehl': 0.99416436618139759, 'FWHM': 0.71904380400955814}, RMS: 0.0752015 +- 0.0153818 +- 0.000217749
science_sci2 (gainFactor=0.005; decayFactor=0.95;centroidPower=0.1; rcond=0.01;r0=0.10) (4990x1 iters, batchno 0 230727_133428 commit ): {'rms': 0.061228659283998774, 'strehlPeak': 0.99416436618139759, 'strehlInst': 0.99627028368912285, 'inbox0.2': 0.1906014084815979, 'd50': 0.8701716534727203, 'strehl': 0.99416436618139759, 'FWHM': 0.71904380400955814}, RMS: 0.0752015 +- 0.0153818 +- 0.000217749
science_sci3 (gainFactor=0.005; decayFactor=0.95;centroidPower=0.1; rcond=0.01;r0=0.10) (4990x1 iters, batchno 0 230727_133428 commit ): {'rms': 0.061228659283998774, 'strehlPeak': 0.99416436618139759, 'strehlInst': 0.99627028368912285, 'inbox0.2': 0.1906014084815979, 'd50': 0.8701716534727203, 'strehl': 0.99416436618139759, 'FWHM': 0.71904380400955814}, RMS: 0.0752015 +- 0.0153818 +- 0.000217749
science_sci4 (gainFactor=0.005; decayFactor=0.95;centroidPower=0.1; rcond=0.01;r0=0.10) (4990x1 iters, batchno 0 230727_133428 commit ): {'rms': 0.061228659283998774, 'strehlPeak': 0.99416436618139759, 'strehlInst': 0.99627028368912285, 'inbox0.2': 0.1906014084815979, 'd50': 0.8701716534727203, 'strehl': 0.99416436618139759, 'FWHM': 0.71904380400955814}, RMS: 0.0752015 +- 0.0153818 +- 0.000217749
science_sci5 (gainFactor=0.005; decayFactor=0.95;centroidPower=0.1; rcond=0.01;r0=0.10) (4990x1 iters, batchno 0 230727_133428 commit ): {'rms': 0.061228659283998774, 'strehlPeak': 0.99416436618139759, 'strehlInst': 0.99627028368912285, 'inbox0.2': 0.1906014084815979, 'd50': 0.8701716534727203, 'strehl': 0.99416436618139759, 'FWHM': 0.71904380400955814}, RMS: 0.0752015 +- 0.0153818 +- 0.000217749
science_sci6 (gainFactor=0.005; decayFactor=0.95;centroidPower=0.1; rcond=0.01;r0=0.10) (4990x1 iters, batchno 0 230727_133428 commit ): {'rms': 0.061228659283998774, 'strehlPeak': 0.99416436618139759, 'strehlInst': 0.99627028368912285, 'inbox0.2': 0.1906014084815979, 'd50': 0.8701716534727203, 'strehl': 0.99416436618139759, 'FWHM': 0.71904380400955814}, RMS: 0.0752015 +- 0.0153818 +- 0.000217749
science_sci7 (gainFactor=0.005; decayFactor=0.95;centroidPower=0.1; rcond=0.01;r0=0.10) (4990x1 iters, batchno 0 230727_133428 commit ): {'rms': 0.061228659283998774, 'strehlPeak': 0.99416436618139759, 'strehlInst': 0.99627028368912285, 'inbox0.2': 0.1906014084815979, 'd50': 0.8701716534727203, 'strehl': 0.99416436618139759, 'FWHM': 0.71904380400955814}, RMS: 0.0752015 +- 0.0153818 +- 0.000217749
science_sci1 (gainFactor=0.005; decayFactor=0.95;centroidPower=0.1; rcond=0.01;r0=0.10) (4990x1 iters, batchno 0 230727_134815 commit ): {'rms': 0.061265065839210729, 'strehlPeak': 0.99416506569265684, 'strehlInst': 0.99626655296240685, 'inbox0.2': 0.19060154259204865, 'd50': 0.87017142530317138, 'strehl': 0.99416506569265684, 'FWHM': 0.71904343537857995}, RMS: 0.0751985 +- 0.0153795 +- 0.000217716
science_sci1 (gainFactor=0.005; decayFactor=0.95;centroidPower=0.1; rcond=0.01;r0=0.10) (4990x1 iters, batchno 0 230727_135004 commit ): {'rms': 0.061290221910529158, 'strehlPeak': 0.99416413301097784, 'strehlInst': 0.99626359947042331, 'inbox0.2': 0.19060136377811432, 'd50': 0.87017156620905334, 'strehl': 0.99416413301097784, 'FWHM': 0.71904400334749308}, RMS: 0.0752011 +- 0.0153791 +- 0.000217711
science_sci1 (gainFactor=0.005; decayFactor=0.95;centroidPower=0.1; rcond=0.01;r0=0.10) (19990x1 iters, batchno 0 230727_135644 commit ): {'rms': 0.05908329969092023, 'strehlPeak': 0.99408897441234445, 'strehlInst': 0.99652311814760719, 'inbox0.2': 0.19058695435523987, 'd50': 0.87025059152724071, 'strehl': 0.99408897441234445, 'FWHM': 0.71903007702735278}, RMS: 0.075591 +- 0.0161226 +- 0.000114033
